Province;anio;pib
Granada;2011-01-01;16,347
Guadalajara;2011-01-01;19,687
Gipuzkoa;2011-01-01;29,458
Huelva;2011-01-01;17,882
Huesca;2011-01-01;25,978
Jaen;2011-01-01;16,349
Leon;2011-01-01;19,610
Lleida;2011-01-01;27,231
La Rioja;2011-01-01;24,748
Lugo;2011-01-01;20,083
Madrid;2011-01-01;31,147
Malaga;2011-01-01;17,160
Melilla;2011-01-01;17,144
Murcia;2011-01-01;18,957
Navarra;2011-01-01;28,279
Ourense;2011-01-01;18,766
Asturias;2011-01-01;20,706
Palencia;2011-01-01;23,715
Las Palmas;2011-01-01;18,561
Pontevedra;2011-01-01;19,172
Salamanca;2011-01-01;18,285
Santa Cruz de Tenerife;2011-01-01;19,688
Cantabria;2011-01-01;21,435
Segovia;2011-01-01;21,034
Sevilla;2011-01-01;18,686
Soria;2011-01-01;23,012
Tarragona;2011-01-01;26,403
Teruel;2011-01-01;24,009
Toledo;2011-01-01;17,254
Valencia;2011-01-01;21,506
Valladolid;2011-01-01;23,110
Bizkaia;2011-01-01;27,849
Zamora;2011-01-01;18,608
Zaragoza;2011-01-01;24,939
Araba/Alava;2012-01-01;33,082
Albacete;2012-01-01;17,836
Alicante/Alacant;2012-01-01;16,425
Almeria;2012-01-01;17,031
Avila;2012-01-01;17,895
Badajoz;2012-01-01;15,662
Illes Balears;2012-01-01;23,810
Barcelona;2012-01-01;25,961
Burgos;2012-01-01;25,468
Caceres;2012-01-01;16,442
Cadiz;2012-01-01;16,196
Castellon/Castello;2012-01-01;21,469
Ceuta;2012-01-01;17,094
Ciudad Real;2012-01-01;18,894
Cordoba;2012-01-01;15,479
A Coruna;2012-01-01;20,548
Cuenca;2012-01-01;19,540
Girona;2012-01-01;25,545
Granada;2012-01-01;15,971
Guadalajara;2012-01-01;18,989
Gipuzkoa;2012-01-01;28,781
Huelva;2012-01-01;17,373
Huesca;2012-01-01;24,813
Jaen;2012-01-01;14,677
Leon;2012-01-01;19,154
Lleida;2012-01-01;27,041
La Rioja;2012-01-01;23,961
Lugo;2012-01-01;19,899
Madrid;2012-01-01;30,566
Malaga;2012-01-01;16,257
Melilla;2012-01-01;16,035
Murcia;2012-01-01;18,444
Navarra;2012-01-01;27,184
Ourense;2012-01-01;18,595
Asturias;2012-01-01;19,867
Palencia;2012-01-01;22,517
Las Palmas;2012-01-01;17,743
Pontevedra;2012-01-01;18,530
Salamanca;2012-01-01;17,716
Santa Cruz de Tenerife;2012-01-01;18,945
Cantabria;2012-01-01;20,691
Segovia;2012-01-01;20,171
Sevilla;2012-01-01;18,194
Soria;2012-01-01;21,833
Tarragona;2012-01-01;25,539
Teruel;2012-01-01;23,643
Toledo;2012-01-01;16,425
Valencia;2012-01-01;20,629
Valladolid;2012-01-01;22,355
Bizkaia;2012-01-01;27,224
Zamora;2012-01-01;18,651
Zaragoza;2012-01-01;23,874
Araba/Alava;2013-01-01;33,371
Albacete;2013-01-01;17,802
Alicante/Alacant;2013-01-01;16,346
Almeria;2013-01-01;16,759
Avila;2013-01-01;17,565
Badajoz;2013-01-01;15,742
Illes Balears;2013-01-01;23,719
Barcelona;2013-01-01;25,975
Burgos;2013-01-01;24,696
Caceres;2013-01-01;16,511
Cadiz;2013-01-01;15,843
Castellon/Castello;2013-01-01;21,644
Ceuta;2013-01-01;17,229
Ciudad Real;2013-01-01;18,416
Cordoba;2013-01-01;15,710
A Coruna;2013-01-01;20,621
Cuenca;2013-01-01;19,566
Girona;2013-01-01;25,202
Granada;2013-01-01;15,877
Guadalajara;2013-01-01;18,484
Gipuzkoa;2013-01-01;28,283
Huelva;2013-01-01;16,185
Huesca;2013-01-01;25,616
Jaen;2013-01-01;15,780
Leon;2013-01-01;18,654
Lleida;2013-01-01;27,463
La Rioja;2013-01-01;23,898
Lugo;2013-01-01;20,190
Madrid;2013-01-01;30,264
Malaga;2013-01-01;16,016
Melilla;2013-01-01;15,981
Murcia;2013-01-01;18,502
Navarra;2013-01-01;27,213
Ourense;2013-01-01;18,417
Asturias;2013-01-01;19,475
Palencia;2013-01-01;22,465
Las Palmas;2013-01-01;17,832
Pontevedra;2013-01-01;18,673
Salamanca;2013-01-01;17,326
Santa Cruz de Tenerife;2013-01-01;18,519
Cantabria;2013-01-01;20,299
Segovia;2013-01-01;19,974
