Sexo;Provincias;Periodo;Total
Ambos sexos;05 Ávila;1987;78,48
Ambos sexos;05 Ávila;1986;78,60
Ambos sexos;05 Ávila;1985;78,65
Ambos sexos;05 Ávila;1984;78,49
Ambos sexos;05 Ávila;1983;78,84
Ambos sexos;05 Ávila;1982;78,29
Ambos sexos;05 Ávila;1981;77,71
Ambos sexos;05 Ávila;1980;78,25
Ambos sexos;05 Ávila;1979;76,79
Ambos sexos;05 Ávila;1978;76,62
Ambos sexos;05 Ávila;1977;75,57
Ambos sexos;05 Ávila;1976;75,11
Ambos sexos;05 Ávila;1975;73,58
Ambos sexos;06 Badajoz;2023;82,90
Ambos sexos;06 Badajoz;2022;82,29
Ambos sexos;06 Badajoz;2021;81,89
Ambos sexos;06 Badajoz;2020;81,90
Ambos sexos;06 Badajoz;2019;82,43
Ambos sexos;06 Badajoz;2018;82,26
Ambos sexos;06 Badajoz;2017;82,09
Ambos sexos;06 Badajoz;2016;81,96
Ambos sexos;06 Badajoz;2015;81,70
Ambos sexos;06 Badajoz;2014;81,80
Ambos sexos;06 Badajoz;2013;81,54
Ambos sexos;06 Badajoz;2012;81,05
Ambos sexos;06 Badajoz;2011;81,42
Ambos sexos;06 Badajoz;2010;80,69
Ambos sexos;06 Badajoz;2009;80,52
Ambos sexos;06 Badajoz;2008;80,60
Ambos sexos;06 Badajoz;2007;80,27
Ambos sexos;06 Badajoz;2006;79,91
Ambos sexos;06 Badajoz;2005;79,22
Ambos sexos;06 Badajoz;2004;79,55
Ambos sexos;06 Badajoz;2003;78,77
Ambos sexos;06 Badajoz;2002;78,89
Ambos sexos;06 Badajoz;2001;78,98
Ambos sexos;06 Badajoz;2000;78,39
Ambos sexos;06 Badajoz;1999;78,17
Ambos sexos;06 Badajoz;1998;78,39
Ambos sexos;06 Badajoz;1997;78,15
Ambos sexos;06 Badajoz;1996;77,46
Ambos sexos;06 Badajoz;1995;77,72
Ambos sexos;06 Badajoz;1994;77,29
Ambos sexos;06 Badajoz;1993;76,60
Ambos sexos;06 Badajoz;1992;76,81
Ambos sexos;06 Badajoz;1991;76,32
Ambos sexos;06 Badajoz;1990;76,04
Ambos sexos;06 Badajoz;1989;76,03
Ambos sexos;06 Badajoz;1988;76,07
Ambos sexos;06 Badajoz;1987;75,92
Ambos sexos;06 Badajoz;1986;75,36
Ambos sexos;06 Badajoz;1985;75,70
Ambos sexos;06 Badajoz;1984;75,60
Ambos sexos;06 Badajoz;1983;74,90
Ambos sexos;06 Badajoz;1982;75,48
Ambos sexos;06 Badajoz;1981;74,68
Ambos sexos;06 Badajoz;1980;74,68
Ambos sexos;06 Badajoz;1979;73,84
Ambos sexos;06 Badajoz;1978;73,35
Ambos sexos;06 Badajoz;1977;73,39
Ambos sexos;06 Badajoz;1976;73,19
Ambos sexos;06 Badajoz;1975;73,02
Ambos sexos;07 Balears, Illes;2023;83,71
Ambos sexos;07 Balears, Illes;2022;82,90
Ambos sexos;07 Balears, Illes;2021;83,00
Ambos sexos;07 Balears, Illes;2020;83,11
Ambos sexos;07 Balears, Illes;2019;83,40
Ambos sexos;07 Balears, Illes;2018;82,97
Ambos sexos;07 Balears, Illes;2017;82,68
Ambos sexos;07 Balears, Illes;2016;82,86
Ambos sexos;07 Balears, Illes;2015;82,28
Ambos sexos;07 Balears, Illes;2014;82,60
Ambos sexos;07 Balears, Illes;2013;82,56
Ambos sexos;07 Balears, Illes;2012;81,85
Ambos sexos;07 Balears, Illes;2011;81,93
Ambos sexos;07 Balears, Illes;2010;81,56
Ambos sexos;07 Balears, Illes;2009;81,15
Ambos sexos;07 Balears, Illes;2008;81,19
Ambos sexos;07 Balears, Illes;2007;81,26
Ambos sexos;07 Balears, Illes;2006;80,85
Ambos sexos;07 Balears, Illes;2005;80,33
Ambos sexos;07 Balears, Illes;2004;80,27
Ambos sexos;07 Balears, Illes;2003;79,78
Ambos sexos;07 Balears, Illes;2002;79,47
Ambos sexos;07 Balears, Illes;2001;79,14
Ambos sexos;07 Balears, Illes;2000;78,42
Ambos sexos;07 Balears, Illes;1999;78,13
Ambos sexos;07 Balears, Illes;1998;78,46
Ambos sexos;07 Balears, Illes;1997;78,28
Ambos sexos;07 Balears, Illes;1996;77,66
Ambos sexos;07 Balears, Illes;1995;77,32
Ambos sexos;07 Balears, Illes;1994;77,63
Ambos sexos;07 Balears, Illes;1993;76,97
Ambos sexos;07 Balears, Illes;1992;76,76
Ambos sexos;07 Balears, Illes;1991;76,10
Ambos sexos;07 Balears, Illes;1990;75,82
Ambos sexos;07 Balears, Illes;1989;75,73
Ambos sexos;07 Balears, Illes;1988;75,96
Ambos sexos;07 Balears, Illes;1987;75,48
Ambos sexos;07 Balears, Illes;1986;74,99
Ambos sexos;07 Balears, Illes;1985;75,15
Ambos sexos;07 Balears, Illes;1984;75,22
Ambos sexos;07 Balears, Illes;1983;74,43
Ambos sexos;07 Balears, Illes;1982;75,76
Ambos sexos;07 Balears, Illes;1981;76,09
Ambos sexos;07 Balears, Illes;1980;75,34
Ambos sexos;07 Balears, Illes;1979;74,61
Ambos sexos;07 Balears, Illes;1978;74,62
