Air Pollutant,Air Pollutant Description,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,Province,Quality,Respiratory_diseases_total,Life_expectancy_total,pib
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,5.262,ug/m3,Background,rural,-0.0911,40.6372,1150.0,Castellon/Castello,BUENA,436.0,79.17,18.402
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,53.181,ug/m3,Traffic,urban,-5.9596,37.3843,29.0,Sevilla,RAZONABLEMENTE BUENA,1.333,78.01,12.121
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,5.298,ug/m3,Background,rural,3.3158,42.3192,76.0,Girona,BUENA,468.0,79.76,19.517
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,39.05,ug/m3,Traffic,urban,-2.6678,42.8561,518.0,Araba/Alava,BUENA,224.0,80.15,22.134
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,44.225,ug/m3,Traffic,urban,2.1917,41.4233,12.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,22.878,ug/m3,Traffic,urban,-0.19,38.9667,22.0,Valencia,BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,20.175,ug/m3,Industrial,suburban,1.2177,41.1549,56.0,Tarragona,BUENA,630.0,79.2,20.226
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,39.734,ug/m3,Background,suburban,-3.7492,40.42,645.0,Madrid,BUENA,4.662,80.36,21.177
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,33.281,ug/m3,Traffic,urban,-0.6947,38.2686,86.0,Alicante/Alacant,BUENA,1.221,78.89,14.14
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,47.645,ug/m3,Traffic,urban,-3.5519,40.4286,612.0,Madrid,RAZONABLEMENTE BUENA,4.662,80.36,21.177
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,9.891,ug/m3,Industrial,suburban,-0.2333,39.9628,163.0,Castellon/Castello,BUENA,436.0,79.17,18.402
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,37.609,ug/m3,Traffic,suburban,2.03,41.4883,123.0,Barcelona,BUENA,4.54,79.71,19.38
