Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency,Province
Spain,NET_ES203A,CCAA Asturias,ES0825A,LA FELGUERA,SP_33031030_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,3.534,ug/m3,98.1,3.0,Industrial,Urban,-5.6897,43.3067,206.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Asturias / Asturies
Spain,NET_ES201A,CCAA Andalucía,ES2030A,MARBELLA ARCO,SP_29069002_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,4.571,ug/m3,94.51,3.0,Traffic,Urban,-4.863,36.511,39.0,Marbella                                                                        ,ES533C1                                           ,147633.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Málaga
Spain,NET_ES203A,CCAA Asturias,ES0879A,LLARANES,SP_33004020_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,3.582,ug/m3,98.69,3.0,Industrial,Suburban,-5.8989,43.5503,8.0,Avilés                                                                          ,ES039C1                                           ,77791.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Asturias / Asturies
Spain,NET_ES213A,CCAA Madrid,ES1810A,VILLA DEL PRADO,SP_28171001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.901,ug/m3,97.81,3.0,Background,Rural,-4.2752,40.2479,469.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Comunidad de Madrid
Spain,NET_ES213A,CCAA Madrid,ES1802A,EL ATAZAR,SP_28016001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.339,ug/m3,98.2,3.0,Background,Rural,-3.4679,40.909,995.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Comunidad de Madrid
Spain,NET_ES212A,CCAA Galicia,ES2005A,CEE,SP_15023004_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.052,ug/m3,99.51,3.0,Industrial,Urban,-9.1861,42.9536,38.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,A Coruña
Spain,NET_ES212A,CCAA Galicia,ES1138A,CORLAB 1,SP_15030001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.49,ug/m3,98.67,3.0,Traffic,Urban,-8.4206,43.3671,35.0,A Coruña                                                                        ,ES026C1                                           ,247604.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,A Coruña
Spain,NET_ES021A,Ayto Zaragoza,ES1047A,ROGER DE FLOR,SP_50297029_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.568,ug/m3,95.45,3.0,Traffic,Urban,-0.9161,41.6514,212.0,Zaragoza                                                                        ,ES005C1                                           ,681877.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Zaragoza
Spain,NET_ES217A,CCAA La Rioja,ES1602A,LA CIGÜEÑA,SP_26089001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.74,ug/m3,98.62,3.0,Background,Urban,-2.428,42.464,385.0,Logroño                                                                         ,ES018C1                                           ,152485.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Logroño
Spain,NET_ES201A,CCAA Andalucía,ES0893A,GUADARRANQUE,SP_11033007_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,7.035,ug/m3,98.16,3.0,Industrial,Urban,-5.4114,36.1821,2.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Cádiz
