Causa de muerte;Sexo;Provincias;Periodo;Total
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2016;792
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2015;927
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2014;778
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2013;755
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2012;893
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2011;747
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2010;627
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2009;683
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2008;696
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2007;727
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2006;608
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2005;784
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2004;641
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2003;742
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2002;737
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2001;694
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2000;788
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1999;837
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1998;716
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1997;751
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1996;693
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1995;663
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1994;579
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1993;638
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1992;557
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1991;545
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1990;537
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1989;528
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1988;455
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1987;419
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1986;524
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1985;477
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1984;523
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1983;564
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1982;452
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1981;467
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;1980;454
062-067  X.Enfermedades del sistema respiratorio;Total;08 Barcelona;2023;5.253
062-067  X.Enfermedades del sistema respiratorio;Total;08 Barcelona;2022;4.477
062-067  X.Enfermedades del sistema respiratorio;Total;08 Barcelona;2021;3.763
062-067  X.Enfermedades del sistema respiratorio;Total;08 Barcelona;2020;4.526
062-067  X.Enfermedades del sistema respiratorio;Total;08 Barcelona;2019;4.968
